participant_id,age_group,identity_code,cultural_background,upbringing_influence,focus_intensity,consistency_score,external_guidance_usage,support_environment_score,hobby_engagement_level,physical_activity_index,creative_expression_index,altruism_score,personality_cluster
745,17,1,2,2,12.95674077,17,0,3,0,1,0,0,Cluster_D
512,16,1,0,1,6.23406643,12,0,2,0,0,0,1,Cluster_E
648,15,0,1,0,14.55158644,19,0,2,0,0,0,0,Cluster_E
1026,16,1,1,2,8.148105432,16,0,2,1,0,1,0,Cluster_E
1260,17,0,0,1,4.934948413,26,1,4,0,0,0,0,Cluster_E
999,18,1,0,2,12.76185452,9,1,3,0,0,1,0,Cluster_C
1406,18,1,0,1,15.36842142,8,0,3,0,1,0,0,Cluster_C
1453,18,1,0,2,5.669222985,24,1,1,0,0,1,0,Cluster_E
989,16,0,0,1,7.526236339,7,1,2,0,1,0,0,Cluster_B
706,15,0,0,3,9.144608392,11,0,1,1,0,0,0,Cluster_D
2180,18,1,1,2,15.7623788,14,0,2,1,1,0,0,Cluster_E
24,18,1,3,4,18.94613798,20,0,2,1,0,0,0,Cluster_E
1000,17,0,2,1,5.763042716,16,1,2,1,1,0,0,Cluster_E
1916,16,1,1,1,1.420491353,11,0,1,1,0,1,0,Cluster_D
803,15,1,0,2,14.63410545,9,0,3,1,1,0,0,Cluster_C
2286,18,0,3,1,0.393664308,14,1,2,0,1,1,1,Cluster_B
1547,18,0,0,0,4.401325096,2,1,2,0,0,1,1,Cluster_B
2209,16,0,0,1,10.69745512,24,0,2,1,0,0,1,Cluster_E
1939,16,0,0,3,6.517802868,2,1,2,0,1,0,0,Cluster_B
1659,15,1,3,2,18.87130434,1,0,2,0,0,0,0,Cluster_A
312,17,0,0,2,19.22835156,7,0,2,0,0,1,1,Cluster_B
352,15,0,0,1,10.95232201,3,0,4,0,0,0,0,Cluster_C
549,16,0,0,0,18.06101306,13,0,1,0,0,1,0,Cluster_D
307,18,1,2,0,8.789307487,13,0,4,0,0,0,0,Cluster_D
288,15,0,1,2,7.365909353,17,0,1,0,0,0,0,Cluster_E
1599,18,1,0,0,18.95465608,0,0,1,1,0,1,0,Cluster_B
2327,16,1,0,2,11.13688826,4,0,4,1,1,0,0,Cluster_B
1738,17,0,0,1,4.312795255,4,0,3,1,1,0,0,Cluster_B
2006,17,1,0,2,8.157698537,11,0,2,0,1,0,1,Cluster_D
1765,15,1,1,1,9.247228945,21,1,2,0,1,0,0,Cluster_E
892,17,1,2,0,6.667356762,16,0,2,0,1,0,0,Cluster_E
1990,15,0,0,1,16.4092258,2,1,1,1,1,0,0,Cluster_B
839,18,1,1,3,13.54147425,3,1,3,1,0,0,1,Cluster_B
1646,17,1,2,2,19.85607956,23,1,1,1,0,0,0,Cluster_E
1177,17,1,2,2,17.04877771,0,1,2,0,0,0,0,Cluster_B
1977,17,1,0,1,2.695715698,8,0,2,1,1,0,0,Cluster_C
14,17,0,1,2,12.10142507,21,0,4,0,1,0,0,Cluster_E
1269,15,1,1,2,3.593185781,23,0,2,1,0,0,1,Cluster_E
515,16,1,3,2,1.447145155,22,0,3,1,1,0,0,Cluster_E
410,16,1,3,3,13.50259772,11,0,2,0,1,0,0,Cluster_D
695,16,1,0,2,16.78415906,14,1,1,0,0,0,0,Cluster_D
314,17,1,2,1,16.14955871,25,0,0,0,0,0,0,Cluster_E
1690,18,1,0,4,13.90459311,12,0,1,0,0,0,1,Cluster_E
1623,16,0,1,1,2.530906224,29,0,2,0,0,0,0,Cluster_E
1744,17,0,0,3,11.41706051,7,0,1,0,0,0,0,Cluster_D
694,18,0,1,2,0.169029921,22,0,1,1,0,0,0,Cluster_E
2193,16,1,1,2,15.82705447,28,0,1,1,1,0,0,Cluster_C
383,18,1,1,1,10.57168403,5,0,2,1,0,0,1,Cluster_C
832,15,0,0,3,5.147309168,18,0,3,1,0,1,0,Cluster_E
1923,18,0,3,3,18.73131223,12,0,2,1,0,0,0,Cluster_D
2009,15,1,0,1,14.04194377,13,1,4,1,0,0,0,Cluster_C
1308,18,0,0,2,18.64267831,22,0,3,1,0,0,0,Cluster_E
1780,18,0,3,2,6.453674142,23,1,2,0,1,0,0,Cluster_E
264,15,0,0,2,2.548161434,19,0,4,0,0,1,1,Cluster_E
2068,15,1,1,3,14.07871815,9,1,3,1,0,0,0,Cluster_B
2110,16,0,1,1,14.64601541,7,0,3,1,0,0,0,Cluster_C
1702,16,0,3,2,6.660152661,22,0,1,0,0,0,0,Cluster_E
963,16,0,0,2,10.77961749,1,0,3,1,0,1,0,Cluster_B
1054,17,1,1,2,10.50281704,29,0,1,1,0,0,0,Cluster_E
1059,16,1,0,0,1.938346541,5,0,3,1,0,0,0,Cluster_C
9,17,0,0,0,4.562007558,1,0,2,0,1,0,1,Cluster_C
317,17,1,0,2,6.736954029,27,0,4,0,0,0,0,Cluster_E
305,16,1,1,2,6.859330394,4,0,2,0,1,1,0,Cluster_B
428,18,1,0,1,18.08069973,19,0,2,0,0,0,1,Cluster_E
106,16,1,2,2,1.071531192,14,0,3,0,1,1,1,Cluster_D
2112,15,0,0,3,16.40585921,16,1,2,0,1,0,0,Cluster_D
122,15,1,1,1,9.749356709,7,1,1,0,1,1,0,Cluster_C
1448,18,1,1,3,16.96835453,1,1,0,0,1,0,0,Cluster_B
1768,15,0,1,2,18.5852195,26,0,2,0,0,0,0,Cluster_E
2266,15,1,1,2,2.089647906,6,0,2,0,1,1,0,Cluster_D
1954,18,1,0,0,19.01184026,7,0,2,0,0,0,0,Cluster_C
116,18,1,0,3,1.559877328,15,0,0,0,0,0,1,Cluster_E
2379,15,1,0,2,12.90555511,26,0,2,0,0,1,1,Cluster_D
1407,16,0,0,2,17.70030649,16,1,2,0,1,1,0,Cluster_D
2233,16,0,3,1,3.976570606,6,0,4,0,0,0,0,Cluster_B
860,17,0,0,1,1.979372468,7,1,3,1,0,0,0,Cluster_C
1513,15,0,2,1,4.459000171,27,0,1,0,0,0,0,Cluster_E
1994,15,0,1,2,5.712531994,25,1,3,1,0,0,0,Cluster_E
1728,15,1,2,2,15.10874545,15,0,2,0,0,0,0,Cluster_E
592,18,0,2,2,7.560498989,1,0,1,0,0,0,0,Cluster_D
841,17,0,0,0,9.464263738,7,0,1,0,1,0,0,Cluster_D
765,15,1,3,1,7.270289147,9,0,0,0,0,0,0,Cluster_D
1921,17,1,0,2,5.778740333,16,1,0,0,0,0,1,Cluster_E
1836,16,1,1,2,7.339156636,27,0,2,1,0,0,0,Cluster_E
553,15,1,2,1,18.67357812,22,0,1,0,1,0,0,Cluster_E
88,15,0,2,1,0.008030881,27,0,1,0,0,1,0,Cluster_E
1522,15,0,3,2,11.78941606,5,0,4,1,0,1,0,Cluster_B
2310,17,0,0,1,12.47506769,21,0,1,0,0,0,0,Cluster_A
1455,15,1,3,3,13.48439265,13,0,0,1,1,0,0,Cluster_D
1048,15,0,3,2,17.95591613,6,0,3,1,0,0,1,Cluster_C
1091,18,0,0,2,13.14237678,27,1,4,0,1,0,0,Cluster_E
907,16,1,0,1,4.276024213,18,1,1,1,0,0,1,Cluster_E
544,16,0,0,1,19.71048267,13,1,2,0,0,0,0,Cluster_D
1587,15,0,0,2,10.463163,27,1,0,1,0,0,0,Cluster_E
2125,16,1,1,3,5.302465229,27,0,0,0,1,0,0,Cluster_E
495,15,1,1,3,15.39544615,11,0,1,1,0,0,0,Cluster_D
890,15,0,0,1,0.29712245,5,0,3,0,0,0,0,Cluster_D
2165,16,0,1,3,13.48002742,26,0,2,1,0,0,0,Cluster_E
1399,18,1,0,1,17.22125873,18,0,2,0,1,0,0,Cluster_E
2139,16,0,0,1,11.10526645,27,0,3,0,1,0,0,Cluster_E
72,16,1,1,1,17.25541555,28,0,3,0,0,1,1,Cluster_E
64,15,0,0,1,8.68097737,8,0,2,0,1,0,0,Cluster_D
837,17,0,0,1,12.73385829,10,1,2,0,0,0,0,Cluster_C
1262,17,0,0,2,0.442689021,5,0,1,1,0,0,0,Cluster_D
908,17,0,2,1,2.110272928,3,0,3,0,0,0,0,Cluster_D
1666,16,0,0,2,17.07259857,24,1,0,0,0,0,0,Cluster_E
1536,16,0,1,0,5.789957302,11,1,0,1,0,0,0,Cluster_E
501,17,1,2,2,14.9863071,23,0,1,0,0,0,0,Cluster_E
842,18,1,0,3,12.35453848,13,0,2,0,0,1,0,Cluster_E
1379,16,1,1,1,8.112387805,22,0,2,1,0,0,0,Cluster_E
1002,17,1,0,3,14.61029308,16,1,3,0,0,0,1,Cluster_E
1065,16,0,1,1,14.20346533,8,1,0,1,0,1,0,Cluster_D
206,15,0,0,2,3.495734301,12,1,4,0,0,0,0,Cluster_D
903,16,1,3,2,7.394756217,28,1,2,0,1,0,0,Cluster_E
680,16,1,1,1,8.422378089,27,0,2,1,1,1,0,Cluster_E
558,16,1,3,3,16.20280181,0,0,3,1,0,0,0,Cluster_A
378,15,0,1,0,9.297095616,1,0,1,1,0,0,0,Cluster_C
536,16,1,3,2,7.335041529,27,0,4,1,1,0,0,Cluster_E
818,17,0,1,1,6.296823108,6,0,3,1,0,0,0,Cluster_B
2246,16,0,1,1,10.98166445,16,0,0,0,0,0,0,Cluster_E
199,15,1,2,2,2.419213245,21,0,2,0,0,0,0,Cluster_E
562,17,1,0,2,4.173038263,25,0,4,0,0,1,0,Cluster_E
1527,17,1,1,1,6.459574667,10,0,3,0,0,1,0,Cluster_D
591,15,0,2,2,5.650817273,23,0,1,0,0,0,0,Cluster_E
520,16,0,0,3,13.56245003,14,0,2,0,0,0,0,Cluster_D
309,18,0,1,3,8.07293389,25,0,1,1,0,0,0,Cluster_E
1934,17,0,3,2,14.34807111,29,0,3,0,0,0,0,Cluster_E
2333,16,0,0,3,5.764239369,15,1,3,1,0,0,0,Cluster_A
708,18,0,0,2,17.75635281,23,0,2,1,0,0,0,Cluster_E
60,15,1,3,0,9.468698672,23,0,3,0,1,0,0,Cluster_E
1390,15,0,0,3,10.8406669,2,0,0,1,0,0,0,Cluster_C
2198,18,0,2,2,17.47267645,0,0,0,0,1,0,0,Cluster_E
208,18,0,0,2,11.22300425,25,0,2,1,0,0,0,Cluster_E
1828,18,1,0,2,8.720965959,5,1,3,1,0,0,0,Cluster_B
701,16,0,0,2,13.07555846,6,0,3,0,0,0,0,Cluster_C
734,18,1,1,2,9.844323666,19,0,2,0,0,1,1,Cluster_E
163,18,0,0,2,13.0847156,0,1,3,0,0,1,1,Cluster_A
1178,18,1,2,3,10.96801873,3,1,1,0,0,1,0,Cluster_B
1962,15,1,3,4,6.458021372,17,1,3,0,1,0,0,Cluster_E
1395,15,0,1,1,7.863408691,28,1,2,1,0,0,0,Cluster_E
257,17,0,0,2,3.86894456,0,1,3,0,0,0,0,Cluster_B
507,18,1,0,1,12.29806029,9,1,1,1,0,0,0,Cluster_C
1772,17,1,0,2,18.61615345,18,0,3,0,0,0,0,Cluster_E
2008,17,0,0,1,13.52283577,23,1,4,1,0,0,0,Cluster_E
2135,17,0,2,2,5.297325156,23,1,2,0,0,1,0,Cluster_E
696,18,1,0,1,0.639889203,25,0,2,0,1,0,0,Cluster_E
1507,18,0,1,1,3.523888123,0,0,2,1,0,0,0,Cluster_C
21,16,1,0,3,2.621597234,2,0,3,0,0,0,1,Cluster_C
1895,15,1,2,2,17.73179192,15,0,2,0,1,0,0,Cluster_D
1382,18,1,2,2,11.87411566,27,0,4,0,1,0,0,Cluster_E
382,16,1,0,4,10.15794832,22,0,1,1,0,0,0,Cluster_E
539,15,1,1,2,1.447527864,21,0,1,0,0,0,0,Cluster_E
1289,18,0,2,1,19.91208404,8,0,3,1,0,1,1,Cluster_B
737,18,0,3,3,10.74987507,9,0,4,0,0,0,1,Cluster_C
84,18,0,2,1,8.88959956,16,0,1,0,1,0,0,Cluster_E
1867,16,0,0,0,19.52141172,29,0,3,1,1,0,0,Cluster_E
1084,18,0,2,1,15.87074804,22,0,3,0,0,1,0,Cluster_E
1898,17,1,2,1,10.34300725,13,0,2,0,0,1,1,Cluster_E
1944,16,0,0,0,17.24305917,12,0,2,1,0,0,0,Cluster_D
271,16,1,0,2,11.14849489,15,0,3,0,0,0,0,Cluster_E
1969,15,1,0,1,14.67840741,14,1,3,0,0,0,0,Cluster_D
1851,17,1,2,2,11.28602129,16,0,1,1,0,1,0,Cluster_E
1903,15,0,0,1,14.4522345,3,1,3,1,0,0,0,Cluster_A
2303,17,1,0,2,5.598746594,25,0,4,0,0,0,0,Cluster_E
1540,15,0,0,1,16.90451116,9,0,2,1,1,0,0,Cluster_C
1201,15,0,1,1,3.415205669,15,0,2,1,0,0,0,Cluster_E
430,18,0,0,2,13.40507952,1,0,2,0,0,0,0,Cluster_B
1062,15,1,0,1,15.85406812,6,0,4,1,0,1,0,Cluster_B
2179,17,1,1,4,1.564841972,14,0,1,0,1,0,0,Cluster_D
2113,16,1,0,3,8.082196955,16,0,2,0,0,0,0,Cluster_E
459,17,1,1,2,13.34702326,12,0,1,1,0,0,0,Cluster_E
79,17,1,0,0,6.413255095,19,0,1,0,0,0,0,Cluster_E
1627,15,0,0,0,9.615723364,26,1,2,1,0,0,0,Cluster_E
33,18,0,0,3,7.663289371,25,0,1,0,1,0,0,Cluster_E
953,15,1,0,2,17.34709278,25,1,0,1,1,0,0,Cluster_E
788,18,0,1,0,9.369224742,6,0,2,0,0,0,1,Cluster_C
2150,17,1,1,1,18.84601876,29,1,2,0,1,0,0,Cluster_E
381,18,1,2,1,3.772644928,7,0,2,1,1,0,1,Cluster_C
227,15,0,2,1,11.44815452,19,0,2,0,0,0,0,Cluster_E
1076,15,1,1,2,19.57011934,13,0,1,0,0,0,0,Cluster_D
716,18,1,0,2,10.07140149,20,0,4,0,0,0,0,Cluster_E
1823,18,0,1,1,2.158491099,29,1,3,1,1,1,1,Cluster_E
687,16,0,0,2,0.184017953,11,1,0,1,0,0,0,Cluster_E
2032,15,1,2,1,13.73904883,15,0,4,1,1,0,0,Cluster_D
2316,15,0,0,3,0.867943572,10,1,2,0,0,0,0,Cluster_A
306,15,1,0,1,2.764911313,7,1,1,0,0,0,0,Cluster_D
210,15,0,0,2,6.508365614,20,1,2,1,0,1,1,Cluster_E
858,17,0,1,3,2.185588907,7,0,3,1,0,0,0,Cluster_D
1502,16,0,0,2,14.19866147,23,1,1,0,0,0,0,Cluster_E
2372,18,1,0,3,0.668759711,8,0,2,0,0,0,1,Cluster_D
924,17,0,1,1,11.69513617,15,0,4,0,0,1,0,Cluster_D
1028,17,0,0,4,7.545039714,18,1,4,1,0,1,0,Cluster_D
1388,18,1,2,2,17.63709602,10,0,1,1,0,1,0,Cluster_C
1724,16,0,0,3,18.86714597,21,1,2,1,0,0,0,Cluster_E
1908,15,1,1,1,15.098804,23,0,2,0,0,0,1,Cluster_E
1095,16,1,0,2,6.849504384,24,0,3,1,0,1,0,Cluster_E
1964,16,0,1,0,12.34708502,1,0,0,1,0,0,1,Cluster_C
2353,17,1,0,3,19.77751424,2,0,2,0,1,0,1,Cluster_B
484,16,1,0,2,12.84556327,20,0,4,0,0,1,0,Cluster_E
1318,18,0,3,2,18.77156479,10,1,3,0,0,0,0,Cluster_C
278,16,0,0,3,12.08009995,28,1,3,0,0,0,0,Cluster_E
2306,15,0,1,0,5.824466372,19,0,3,0,1,0,0,Cluster_D
222,17,1,2,0,17.90067718,12,0,2,0,1,0,1,Cluster_D
1186,18,0,0,3,2.652079815,20,0,1,0,0,0,1,Cluster_E
572,17,1,3,2,14.83275637,12,0,3,0,0,0,0,Cluster_D
412,18,1,3,2,14.61358023,25,0,1,0,0,0,0,Cluster_E
1610,17,0,2,2,9.435126188,14,0,2,1,0,0,0,Cluster_D
1985,16,0,0,3,18.17961784,27,0,4,0,0,0,0,Cluster_E
586,17,0,0,1,1.754352834,24,0,2,0,0,0,0,Cluster_E
1090,16,0,1,3,0.278980374,13,0,3,0,0,0,0,Cluster_E
965,17,1,1,4,2.405419263,6,1,1,0,0,1,0,Cluster_C
2386,16,1,0,1,1.44543418,20,0,3,1,1,0,0,Cluster_B
1411,18,1,2,2,17.47150612,20,1,3,0,0,0,0,Cluster_D
675,18,0,0,4,6.064390934,24,0,0,1,1,0,0,Cluster_E
1338,16,0,1,1,13.76061038,26,0,2,1,0,0,0,Cluster_E
448,16,0,0,2,13.81245484,3,0,3,1,1,1,1,Cluster_B
789,18,0,0,3,11.96612151,16,1,1,0,0,0,0,Cluster_E
1011,15,1,3,2,4.81992516,22,0,1,0,1,1,0,Cluster_E
1553,17,0,0,1,7.119367817,27,1,4,0,1,0,0,Cluster_E
2132,15,0,1,1,14.6355219,6,0,3,0,1,1,0,Cluster_B
1466,16,0,1,0,8.500048282,29,0,2,1,1,0,0,Cluster_E
1405,16,0,1,1,5.399472737,17,1,1,0,0,1,0,Cluster_E
791,16,0,0,2,5.497913165,21,0,2,0,0,0,0,Cluster_E
46,18,0,0,2,4.89431194,7,0,4,0,0,1,0,Cluster_C
2098,16,0,1,1,7.622010272,18,1,3,0,0,0,0,Cluster_E
820,15,1,1,2,5.463192407,3,1,4,1,0,0,0,Cluster_A
295,16,0,0,2,16.35808354,3,0,4,0,0,0,0,Cluster_B
2296,18,0,0,2,13.79792007,2,1,3,0,0,0,0,Cluster_C
589,18,0,0,2,13.18846494,10,0,2,0,0,0,1,Cluster_D
1869,15,0,0,1,9.122544179,26,0,1,0,1,1,0,Cluster_E
1973,17,0,0,3,8.183932876,28,1,3,0,0,0,0,Cluster_E
793,15,1,1,2,8.406707784,2,0,2,0,0,1,0,Cluster_B
1314,15,0,2,3,3.624360872,15,1,4,0,0,1,0,Cluster_D
2001,17,1,1,2,4.637192278,25,0,4,1,0,1,0,Cluster_E
930,15,1,0,3,12.08761438,24,0,3,0,1,0,0,Cluster_E
437,18,0,0,1,18.03832216,0,1,0,1,0,0,0,Cluster_B
1367,17,0,0,2,16.08522309,13,0,3,1,0,1,0,Cluster_C
1546,18,0,0,0,15.07332276,14,0,4,1,0,0,0,Cluster_C
394,18,1,0,0,0.753947808,20,0,1,1,1,0,0,Cluster_E
2255,18,1,1,2,16.45776137,16,0,0,0,1,0,1,Cluster_B
535,17,1,2,1,0.668530662,17,0,3,1,0,0,0,Cluster_E
31,15,0,2,2,5.055317199,12,1,0,0,1,0,0,Cluster_E
1195,16,0,0,2,3.126628768,10,0,1,1,1,1,1,Cluster_D
1577,17,1,1,0,5.028603044,11,0,3,0,1,0,1,Cluster_D
747,17,0,1,2,3.569013482,26,0,3,1,1,0,1,Cluster_E
1578,16,1,0,2,3.471442883,24,0,2,0,0,1,0,Cluster_E
1787,18,1,0,2,9.010730781,23,0,1,0,0,0,0,Cluster_E
1887,16,0,0,1,15.49766865,12,0,2,0,0,1,0,Cluster_D
1350,15,1,2,0,0.450086549,25,0,1,1,0,0,0,Cluster_E
1548,17,0,0,2,7.77062296,15,0,3,0,1,0,0,Cluster_D
2121,18,0,0,1,17.51434073,17,0,1,1,1,0,0,Cluster_E
1273,17,0,1,2,2.349517978,6,1,3,1,0,0,0,Cluster_C
1961,16,0,0,2,13.21947641,12,0,1,1,0,0,0,Cluster_E
1081,17,1,1,2,5.03629404,12,0,3,0,0,0,0,Cluster_D
345,17,0,3,1,7.387652952,13,0,3,0,0,0,1,Cluster_E
557,18,1,0,3,0.015790222,24,0,1,0,0,0,0,Cluster_E
1284,15,0,0,1,6.599497906,19,0,2,0,0,0,0,Cluster_E
1592,17,1,0,0,2.543623784,14,0,3,0,1,0,0,Cluster_D
681,18,0,0,1,8.210455687,1,0,2,1,0,0,1,Cluster_C
1989,17,1,0,2,19.20023762,24,0,3,0,0,0,0,Cluster_E
1436,16,0,0,1,18.220314,0,0,4,0,0,0,0,Cluster_A
353,15,0,1,2,12.80966586,1,0,2,0,1,0,0,Cluster_C
92,18,1,0,2,7.724727906,0,0,2,1,1,0,0,Cluster_A
1798,16,1,2,3,1.592902581,4,0,1,0,0,1,1,Cluster_D
2058,17,0,2,1,9.081931868,19,0,2,0,0,0,0,Cluster_E
2311,16,1,1,1,0.112626255,28,0,2,0,0,0,0,Cluster_B
863,16,1,0,0,6.929385742,22,0,1,0,1,0,0,Cluster_E
262,16,0,0,2,4.550677539,20,1,1,1,0,0,0,Cluster_E
1373,18,0,0,2,7.762429135,12,1,1,1,0,0,0,Cluster_E
749,15,1,0,2,18.80794068,9,0,3,1,1,0,1,Cluster_C
2025,15,0,0,1,18.91259355,10,0,2,0,1,1,0,Cluster_C
822,18,1,1,2,9.106574996,4,0,3,0,1,0,0,Cluster_B
568,18,0,2,4,6.024625896,4,0,1,0,0,0,0,Cluster_D
1979,17,1,0,1,3.382078008,4,0,1,0,0,1,0,Cluster_D
1711,15,0,1,4,14.49741707,17,0,3,0,0,0,0,Cluster_E
1929,18,0,1,2,2.708376996,5,0,2,0,0,0,1,Cluster_D
980,16,0,1,1,3.625005111,5,0,1,1,0,0,0,Cluster_C
1321,18,0,2,1,19.88575972,2,0,3,1,0,0,0,Cluster_A
1712,15,1,0,1,13.96233848,29,1,3,0,0,0,0,Cluster_E
301,15,1,0,1,13.34831061,28,0,3,1,0,0,0,Cluster_E
2189,16,0,3,0,5.697053532,9,0,1,0,1,0,0,Cluster_B
1746,16,1,0,3,0.764055675,11,0,3,0,0,0,0,Cluster_E
1126,18,0,0,1,5.180702882,21,0,3,0,0,0,0,Cluster_E
2269,15,0,1,3,9.518126549,4,1,2,1,0,0,0,Cluster_D
1018,17,0,0,1,4.145650451,19,0,1,1,0,0,0,Cluster_E
316,18,1,0,0,7.945825859,15,1,0,0,1,0,0,Cluster_E
2111,18,0,0,2,12.21893051,21,0,0,0,0,0,0,Cluster_E
454,16,1,0,2,15.01338029,9,0,2,0,0,0,1,Cluster_C
602,18,1,0,2,16.06609147,18,1,1,1,0,1,0,Cluster_E
176,16,1,0,2,0.844009372,27,0,3,1,0,0,0,Cluster_E
964,17,0,0,4,5.757590067,26,0,0,0,0,0,0,Cluster_E
1464,17,0,0,2,12.08519032,29,0,4,1,0,0,1,Cluster_E
38,15,0,2,1,10.1822677,21,1,1,0,1,0,0,Cluster_E
124,17,1,3,1,12.78772843,4,0,3,0,0,0,0,Cluster_B
887,15,1,0,3,18.97308162,29,1,1,1,0,0,0,Cluster_E
395,17,1,3,2,7.343392514,26,0,1,0,0,0,0,Cluster_E
1133,16,0,0,4,8.368989944,1,0,0,0,0,0,0,Cluster_C
1243,17,1,0,3,15.21409612,20,0,0,0,0,0,1,Cluster_E
40,17,1,2,1,12.23311351,21,1,3,1,1,0,0,Cluster_E
463,16,1,0,2,1.126665556,24,1,2,0,0,0,1,Cluster_E
874,15,1,0,3,2.773050582,28,0,2,1,0,0,0,Cluster_E
2267,18,0,0,3,4.750322412,16,0,3,0,0,0,0,Cluster_A
332,15,0,0,2,6.538842005,8,0,3,0,1,0,0,Cluster_D
2270,18,0,1,2,0.891400814,24,0,1,1,0,0,0,Cluster_B
195,17,1,0,0,13.48373898,11,1,1,1,0,1,0,Cluster_C
